syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
exit_group,231,1,44514,44514,1
sys_11,11,1,23978,23978,1
sys_158,158,2,148841,74420,2
execve,59,1,466768,466768,0
sys_262,262,2,22560,11280,2
sys_9,9,8,204438,25554,8
sys_21,21,1,31170,31170,1
sys_257,257,2,37269,18634,2
sys_10,10,4,129441,32360,4
sys_334,334,1,11183,11183,1
sys_218,218,1,11256,11256,1
close,3,2,35678,17839,2
read,0,1,11595,11595,1
sys_302,302,1,27695,27695,1
sys_12,12,1,186893,186893,1
sys_273,273,1,11005,11005,1
sys_17,17,4,45676,11419,4
