syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
getrandom,318,1,15142,15142,1
munmap,11,1,59906,59906,1
arch_prctl,158,2,91765,45882,2
write,1,2,37883,18941,2
execve,59,2,776375,388187,1
newfstatat,262,3,39564,13188,3
mmap,9,8,139604,17450,8
access,21,1,20861,20861,1
openat,257,2,27390,13695,2
mprotect,10,4,91933,22983,4
rseq,334,1,84397,84397,1
set_tid_address,218,1,13007,13007,1
close,3,2,54803,27401,2
read,0,1,12986,12986,1
prlimit64,302,1,26941,26941,1
brk,12,3,188756,62918,3
set_robust_list,273,1,13131,13131,1
pread64,17,4,56718,14179,4
