syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
getrandom,318,1,14787,14787,1
munmap,11,1,59046,59046,1
arch_prctl,158,2,74576,37288,2
write,1,2,130057,65028,2
execve,59,2,493860,246930,1
newfstatat,262,3,39641,13213,3
mmap,9,8,141441,17680,8
access,21,1,18911,18911,1
openat,257,2,26538,13269,2
mprotect,10,4,90057,22514,4
rseq,334,1,70417,70417,1
set_tid_address,218,1,12893,12893,1
close,3,2,50638,25319,2
read,0,1,12891,12891,1
prlimit64,302,1,37292,37292,1
brk,12,3,239108,79702,3
set_robust_list,273,1,13167,13167,1
pread64,17,4,51789,12947,4
