syscall,syscall_nr,count,total_time_ns,avg_time_ns,errors
rt_sigprocmask,14,17,424266,24956,17
futex,202,4,264269,66067,4
getrandom,318,1,15142,15142,1
munmap,11,5,131592,26318,5
rt_sigaction,13,1,13852,13852,1
arch_prctl,158,2,54981,27490,2
write,1,8,214529,26816,8
execve,59,2,373968,186984,1
newfstatat,262,6,151745,25290,6
mmap,9,30,955121,31837,30
access,21,1,21976,21976,1
openat,257,5,66500,13300,5
mprotect,10,16,491552,30722,16
rseq,334,1,79213,79213,1
set_tid_address,218,1,13386,13386,1
close,3,5,117085,23417,5
clone3,435,8,137499,17187,8
read,0,4,54309,13577,4
prlimit64,302,1,26697,26697,1
brk,12,3,351273,117091,3
set_robust_list,273,1,13067,13067,1
pread64,17,4,51600,12900,4
